,id,name,id_post,created_time,updated_time,message,type,picture,source,like,love,haha,wow,sad,angry,total_reactions,total_shares,total_comments,video_length
0,101084031778928,Biết thế éo đi làm,101084031778928_915132193952422,2023-11-18T04:13:09+0000,2023-11-18T04:30:55+0000,Một ngày làm việc hiệu quả của người lương 5 triệu,photo,https://scontent.fhan3-5.fna.fbcdn.net/v/t39.30808-6/401837213_915132177285757_702516156832728207_n.jpg?stp=cp1_dst-jpg_p130x130&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=3RUOpLcrl_kAX-VfcuW&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan3-5.fna&cb_e2o_trans=t&oh=00_AfDspdgVcVXYv0v5bLNOQZh5S4p2dw-yMknsnqdAWzwpsw&oe=655C417D,,293,3,204,0,6,0,506,3,19,0
1,101084031778928,Biết thế éo đi làm,101084031778928_915087943956847,2023-11-18T02:16:00+0000,2023-11-18T04:21:21+0000,Khách vote 1 ⭐ vì nhắn lúc 3h sáng không nhân viên nào rep  😞,status,,,310,0,434,1,18,0,763,9,47,0
2,101084031778928,Biết thế éo đi làm,101084031778928_914694960662812,2023-11-17T13:39:28+0000,2023-11-18T04:01:51+0000,"""Em yên tâm, chỉ có chị với bé Linh biết chuyện này thôi"". Hôm sau thấy cả công ty tên Linh 🙄",status,,,1023,3,1128,0,14,0,2168,19,110,0
3,101084031778928,Biết thế éo đi làm,101084031778928_914645237334451,2023-11-17T12:15:30+0000,2023-11-18T02:48:05+0000,"Người sếp khi nghe ứng viên nói: ""Lương không quá quan trọng với em""",photo,https://scontent.fhan3-2.fna.fbcdn.net/v/t39.30808-6/403797514_914645217334453_6419059378066783569_n.jpg?stp=dst-jpg_p130x130&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=6YY-VB_o25IAX_FUILa&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan3-2.fna&cb_e2o_trans=t&oh=00_AfA1GqSBEGSCHoLzt_rl2sIYrOUQ8LtWFRgU7PJHzLGewg&oe=655E0545,,685,4,485,2,6,0,1182,8,46,0
4,101084031778928,Biết thế éo đi làm,101084031778928_914608167338158,2023-11-17T11:14:43+0000,2023-11-18T04:02:28+0000,Thế giới đang chia ra thành 2 loại người: Mai đi làm và mai được nghỉ,status,,,755,2,310,3,105,1,1176,37,147,0
5,101084031778928,Biết thế éo đi làm,101084031778928_914527687346206,2023-11-17T08:22:55+0000,2023-11-18T01:36:26+0000,Lương tâm không bằng lương tháng,photo,https://scontent.fhan3-1.fna.fbcdn.net/v/t39.30808-6/400832705_914527667346208_5639276137795936051_n.jpg?stp=dst-jpg_p130x130&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=LhMnxZvDlrEAX8O4xlJ&_nc_oc=AQluO3lDw98sk-fUknEJ7M4KnrAMCUDJKWZPKNxcG8B4aaSPDHQLo5yN79TCgyyXz78afcWVLi_Ak25RWtL00I3M&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan3-1.fna&cb_e2o_trans=t&oh=00_AfBggYNKJn2SlCZHT-gk03D7wTLWm0xD7C_2LXx4eyb4fQ&oe=655E0903,,421,0,680,2,8,0,1111,11,29,0
6,101084031778928,Biết thế éo đi làm,101084031778928_914390140693294,2023-11-17T02:16:09+0000,2023-11-18T04:30:12+0000,"Làm thế nào để đồng nghiệp ít nói lại không ạ, đồng nghiệp em nói nhiều quá làm em phải nói theo 😔",status,,,2120,5,2683,7,50,0,4865,150,848,0
7,101084031778928,Biết thế éo đi làm,101084031778928_914050984060543,2023-11-16T14:19:04+0000,2023-11-18T01:24:14+0000,Câu chuyện chưa có dấu hiệu kết thúc 😔,photo,https://scontent.fhan3-5.fna.fbcdn.net/v/t39.30808-6/399672909_914050947393880_1612155041915910813_n.jpg?stp=dst-jpg_p130x130&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=2rfueZubsoIAX8TQLOI&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan3-5.fna&cb_e2o_trans=t&oh=00_AfCbHTx1SSqJXNMwIeJQOSYt6bob3bjMsP7bDw-4Ag4EOg&oe=655D996A,,826,2,732,1,16,0,1577,10,46,0
8,101084031778928,Biết thế éo đi làm,101084031778928_913913880740920,2023-11-16T13:00:14+0000,2023-11-17T10:00:01+0000,"Biết Black Friday sắp tới nên tui share tips cho mấy bà đi làm mà vẫn thoải mái chốt deal mạnh tay luônnn 🤩

Để ý giúp tui là nhớ nhập mã “SUPERSAVE” ngay tại bước đăng ký đầu tiên khi đăng ký App K PLUS Vietnam thì mới đúng nha mấy bà. 

Thông tin mấy bà cần tui để dưới comment nhé",photo,https://scontent.fhan4-3.fna.fbcdn.net/v/t39.30808-6/401650489_913913860740922_7857771886735012771_n.jpg?stp=dst-jpg_p130x130&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=KL-AviabtloAX8EeDhI&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan4-3.fna&cb_e2o_trans=t&oh=00_AfBSzh1xRyYqVDhkH5vsyuOOVegreyBYKRu4NDRmz7jevg&oe=655DAFCB,,4724,547,0,340,0,0,5611,20,51,0
9,101084031778928,Biết thế éo đi làm,101084031778928_913972200735088,2023-11-16T11:58:46+0000,2023-11-16T12:22:06+0000,"Hong có người iu tâm lý như anh Hiếu Shyn thì mình tự mở chiếc thẻ tín dụng Cake Freedom là tự do chốt đơn, có deal hoàn tiền 20% mỗi tháng luôn nha.

Ví dụ mà bình thường mình chưa biết chốt đơn nào trước thì giờ cứ mạnh tay chốt hết, đằng nào cũng có Cake hoàn tiền tới 1 triệu mỗi tháng rồi 😎 

Sẵn tiện ùa vô TikTok Hiếu Shyn, Việt Anh Pí Po, Phương Dung, Trâm Anh,... chơi game để nhận được quà free từ Cake nữa nè

#FreedomIsOurRule #NganhangsoCakebyVPBank #NganhangsoCake #NgânhàngsốCake #CakebyVPBank",photo,https://scontent.fhan3-4.fna.fbcdn.net/v/t39.30808-6/400645241_913966497402325_6438056767950037928_n.jpg?stp=dst-jpg_p130x130&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=uV_lOwx8dFUAX_yPC-h&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan3-4.fna&cb_e2o_trans=t&oh=00_AfCQ56bZJgM4Ju-8Ow4TD_Q5Oabmugnm4O4SRX7gvUqYCg&oe=655C8F89,,1535,370,94,260,0,0,2259,22,36,0
10,101084031778928,Biết thế éo đi làm,101084031778928_913950664070575,2023-11-16T11:12:08+0000,2023-11-17T23:23:10+0000,Nhìn giống tôi và đồng nghiệp lúc team building ghê 😌,photo,https://scontent.fhan3-2.fna.fbcdn.net/v/t39.30808-6/399646741_913950644070577_1017881397201509308_n.jpg?stp=dst-jpg_p130x130&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=WPa6_GbWzAEAX-hqYJt&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan3-2.fna&cb_e2o_trans=t&oh=00_AfDG3vEK-VRerCUtXu6y25z2oWrswy3lHxPt0FxMlCxc7g&oe=655D7679,,753,2,883,1,6,0,1645,14,85,0
11,101084031778928,Biết thế éo đi làm,101084031778928_913900767408898,2023-11-16T09:11:21+0000,2023-11-18T04:15:41+0000,"Người ta: du lịch biển Sầm Sơn, Phú Quốc, Nha Trang
Tôi du lịch kiểu",photo,https://scontent.fhan3-1.fna.fbcdn.net/v/t39.30808-6/401694537_913900744075567_1293752743478134094_n.jpg?stp=dst-jpg_p130x130&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Wh0HnT60LmYAX8-nRv2&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan3-1.fna&cb_e2o_trans=t&oh=00_AfBL5G1mRTJATEh-cBqglsYRjgAwAMLL5A046sy-e4Wrtg&oe=655D98B1,,3391,26,4878,3,195,1,8494,152,224,0
12,101084031778928,Biết thế éo đi làm,101084031778928_913846724080969,2023-11-16T07:41:18+0000,2023-11-18T04:31:32+0000,Nghe mà thấy thích 😌,photo,https://scontent.fhan3-2.fna.fbcdn.net/v/t39.30808-6/401662056_913846707414304_1546895610432216085_n.jpg?stp=dst-jpg_p130x130&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=SDNMZGBgyugAX-iRuN6&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan3-2.fna&cb_e2o_trans=t&oh=00_AfBdLXGuVq_owRLCVF77_df02aXNkFWp8qAxqjcFYd965Q&oe=655C7264,,7709,46,4920,11,1496,0,14182,877,1027,0
13,101084031778928,Biết thế éo đi làm,101084031778928_913754910756817,2023-11-16T04:06:42+0000,2023-11-18T01:37:10+0000,Tôi khi vừa nhận lương sau 1 tuần,photo,https://scontent.fhan4-3.fna.fbcdn.net/v/t39.30808-6/401634227_913754890756819_3058341614138327776_n.jpg?stp=dst-jpg_p130x130&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=hANjaxx0tKoAX8yt52s&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan4-3.fna&cb_e2o_trans=t&oh=00_AfDzsgz8xCwtvQVUyp8-AIAiKQwtAD93B-3BL0MwHm_FJQ&oe=655C5506,,1579,7,1157,1,70,0,2814,114,129,0
14,101084031778928,Biết thế éo đi làm,101084031778928_913710817427893,2023-11-16T03:01:00+0000,2023-11-18T04:10:45+0000,"Tôi thích đọc bài tuyển dụng của công ty cũ, rồi bật cười vì chứng kiến những lời dốiiii trá. 🙃
 Biết thế éo đi làm",status,,,942,2,1626,0,7,0,2577,26,135,0
15,101084031778928,Biết thế éo đi làm,101084031778928_913284424137199,2023-11-15T13:17:34+0000,2023-11-17T13:06:51+0000,Công ty sợ giao tiếp kiểu #BTEDL #AgencyCam,video,https://scontent.fhan4-1.fna.fbcdn.net/v/t15.5256-10/402402718_725270149488059_2393743711180745277_n.jpg?stp=dst-jpg_p130x130&_nc_cat=105&ccb=1-7&_nc_sid=1a7029&_nc_ohc=uvecq_F4jyoAX8vgQfh&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan4-1.fna&cb_e2o_trans=t&oh=00_AfDpopnx4dbjSVPSzcGKVYOQnJw5tj33RpD52BRlGLZcsQ&oe=655D01ED,https://scontent.fhan3-4.fna.fbcdn.net/v/t42.1790-2/402461888_868063191657848_1425480916482925251_n.mp4?_nc_cat=106&ccb=1-7&_nc_sid=55d0d3&efg=eyJybHIiOjQxNywicmxhIjo1NjUsInZlbmNvZGVfdGFnIjoic3ZlX3NkIn0%3D&_nc_ohc=SDkgYXFLKRgAX-BYpai&rl=417&vabr=232&_nc_ht=scontent.fhan3-4.fna&cb_e2o_trans=t&oh=00_AfBOdlQtFsQ6aJa06TCodqSTlUsXY_uJJyJyUBwpr9kwSQ&oe=655CBD18,359,4,265,5,1,0,634,4,17,130
